Name,Salary,Owner,ADP,Rank,Age,Position,Bidding Order
Marvin Jones,"$1,550,000",Houston Texans,123.5,119,24,WR,0
Greg Olsen,"$4,250,000",Houston Texans,86.17,84,29,TE,1
Heath Miller,"$700,000",Chicago Blitz,212.5,206,32,TE,2
Ben Roethlisberger,"$2,650,000",Chicago Blitz,116.0,114,32,QB,3
Chris Ivory,"$250,000",Chicago Blitz,154.67,149,26,RB,4
Josh Gordon,"$250,000",Toronto Raiders,22.5,23,23,WR,5
Rookie Pick 1.04 ,"$3,800,000",Birmingham Stallions,,,,,6
Justin Blackmon,"$1,200,000",Philadelphia Stars,94.0,95,24,WR,7
Keenan Allen,"$4,300,000",Philadelphia Stars,26.5,27,22,WR,8
Rookie Pick 1.03 ,"$4,550,000",Philadelphia Stars,,,,,9
Duron Carter,"$2,050,000",New York Generals,117.33,115,23,WR,10
Martavis Bryant,"$3,100,000",Boston Glory,57.0,56,23,WR,11
Khiry Robinson,"$2,900,000",New York Generals,123.0,118,25,RB,12
Terrance Williams,"$850,000",New York Generals,96.33,96,25,WR,13
Mike Wallace,"$2,300,000",Jacksonville Bulls,76.67,71,28,WR,14
Travis Kelce,"$4,800,000",Minnesota Ice,48.17,45,25,TE,15
Sam Bradford,"$250,000",New Orleans Breakers,227.67,230,27,QB,16
Louis Murphy,"$250,000",St. Louis Stampede,,,,,17
Damien Williams,"$250,000",St. Louis Stampede,231.0,235,22,RB,18
Lorenzo Taliaferro,"$600,000",Philadelphia Stars,169.5,165,23,RB,19
Andre Holmes,"$300,000",Toronto Raiders,174.67,170,26,WR,20
Malcom Floyd,"$250,000",Toronto Raiders,225.0,228,33,WR,21
Harry Douglas,"$250,000",Brooklyn Reds,211.33,204,29,WR,22
Rookie Pick 1.15 ,"$850,000",Detroit Panthers,,,,,23
Rookie Pick 1.12 ,"$1,100,000",Detroit Panthers,,,,,24
Rookie Pick 1.06 ,"$3,050,000",Detroit Panthers,,,,,25
Rookie Pick 2.13 ,"$250,000",Minnesota Ice,,,,,26
Rookie Pick 1.10 ,"$1,700,000",New Orleans Breakers,,,,,27
Tony Romo,"$2,150,000",Atlanta Fury,140.17,140,34,QB,28
Branden Oliver,"$500,000",Toronto Raiders,154.67,151,23,RB,29
Doug Martin,"$1,050,000",Memphis Showboats,73.5,68,25,RB,30
Andre Ellington,"$4,550,000",Brooklyn Reds,46.17,43,25,RB,31
Rookie Pick 2.06 ,"$400,000",Chicago Blitz,,,,,32
Alex Smith,"$650,000",Detroit Panthers,224.83,227,30,QB,33
Tavon Austin,"$550,000",Houston Texans,135.67,135,23,WR,34
Rookie Pick 1.08 ,"$2,250,000",Detroit Panthers,,,,,35
Devonta Freeman,"$1,550,000",Houston Texans,84.17,81,22,RB,36
Charles Sims,"$1,300,000",Boston Glory,114.67,112,24,RB,37
Antonio Gates,"$850,000",Atlanta Fury,181.0,176,34,TE,38
Ray Rice,"$300,000",Atlanta Fury,,,,,39
Mohamed Sanu,"$350,000",Atlanta Fury,145.0,146,25,WR,40
Rookie Pick 1.07 ,"$2,500,000",Atlanta Fury,,,,,41
Stevan Ridley,"$850,000",Atlanta Fury,143.5,143,25,RB,42
Larry Donnell,"$550,000",Atlanta Fury,190.17,184,26,TE,43
Zach Mettenberger,"$450,000",Minnesota Ice,196.67,190,23,QB,44
Rookie Pick 1.16 ,"$650,000",St. Louis Stampede,,,,,45
Rookie Pick 2.03 ,"$650,000",Toronto Raiders,,,,,46
Dennis Pitta,"$250,000",Brooklyn Reds,213.0,207,29,TE,47
Matthew Stafford,"$3,000,000",New Orleans Breakers,77.0,72,26,QB,48
Larry Fitzgerald,"$1,000,000",Memphis Showboats,90.5,89,31,WR,49
Pierre Garcon,"$950,000",Memphis Showboats,78.5,75,28,WR,50
Rookie Pick 1.05 ,"$3,250,000",Birmingham Stallions,,,,,51
Doug Baldwin,"$800,000",New Orleans Breakers,161.5,159,26,WR,52
Montee Ball,"$550,000",New Orleans Breakers,128.17,126,24,RB,53
Rookie Pick 1.09 ,"$1,850,000",Atlanta Fury,,,,,54
Torrey Smith,"$3,200,000",Chicago Blitz,52.5,51,25,WR,55
Rookie Pick 2.01 ,"$750,000",New York Generals,,,,,56
Rookie Pick 2.12 ,"$250,000",Chicago Blitz,,,,,57
Jared Cook,"$250,000",Toronto Raiders,205.33,197,27,TE,58
Brock Osweiler,"$250,000",Toronto Raiders,234.33,239,24,QB,59
Cecil Shorts,"$250,000",Toronto Raiders,156.33,152,27,WR,60
TY Hilton,"$7,550,000",Detroit Panthers,20.83,22,25,WR,61
Joique Bell,"$2,850,000",Detroit Panthers,78.83,76,28,RB,62
Julius Thomas,"$2,700,000",New York Generals,37.33,37,26,TE,63
Christine Michael,"$2,050,000",Toronto Raiders,68.17,62,24,RB,64
Ka'Deem Carey,"$950,000",Philadelphia Stars,132.0,131,22,RB,65
Joseph Randle,"$850,000",Philadelphia Stars,,,,,66
Andy Dalton,"$700,000",Philadelphia Stars,163.17,161,27,QB,67
Cordarrelle Patterson,"$1,100,000",Philadelphia Stars,59.33,58,23,WR,68
James Starks,"$250,000",Brooklyn Reds,211.83,205,28,RB,69
Philly Brown,"$400,000",Chicago Blitz,,,,,70
Jarvis Landry,"$3,900,000",Minnesota Ice,49.0,49,22,WR,71
Jordy Nelson,"$8,000,000",Toronto Raiders,17.17,17,29,WR,72
Sammy Watkins,"$7,250,000",New Orleans Breakers,12.67,12,21,WR,73
DeSean Jackson,"$2,700,000",Birmingham Stallions,55.67,55,28,WR,74
Rookie Pick 1.01 ,"$4,750,000",Chicago Blitz,,,,,
Rookie Pick 1.02 ,"$4,150,000",Philadelphia Stars,,,,,
Rookie Pick 1.11 ,"$1,000,000",St. Louis Stampede,,,,,
Rookie Pick 1.13 ,"$650,000",Minnesota Ice,,,,,
Rookie Pick 1.14 ,"$700,000",New Orleans Breakers,,,,,
Rookie Pick 2.02 ,"$650,000",New Orleans Breakers,,,,,
Rookie Pick 2.04 ,"$300,000",Toronto Raiders,,,,,
Rookie Pick 2.05 ,"$450,000",Toronto Raiders,,,,,
Rookie Pick 2.07 ,"$250,000",Detroit Panthers,,,,,
Rookie Pick 2.08 ,"$250,000",St. Louis Stampede,,,,,
Rookie Pick 2.09 ,"$250,000",Minnesota Ice,,,,,
Rookie Pick 2.10 ,"$250,000",Minnesota Ice,,,,,
Rookie Pick 2.11 ,"$250,000",Jacksonville Bulls,,,,,
Rookie Pick 2.16 ,"$250,000",Brooklyn Reds,,,,,
Rookie Pick 3.01 ,"$300,000",New York Generals,,,,,
Rookie Pick 3.02 ,"$250,000",Minnesota Ice,,,,,
Davante Adams,"$4,600,000",Miami Sun Devils,37.33,36,22,WR,
Dwayne Allen,"$1,500,000",Miami Sun Devils,108.0,108,24,TE,
Jace Amaro,"$550,000",Miami Sun Devils,129.5,127,22,TE,
CJ Anderson,"$6,000,000",Birmingham Stallions,48.17,46,23,RB,
Stedman Bailey,"$600,000",Birmingham Stallions,144.83,145,24,WR,
Cole Beasley,"$250,000",Jacksonville Bulls,,,,,
Odell Beckham Jr.,"$10,150,000",New York Generals,2.67,2,22,WR,
Le'Veon Bell,"$12,100,000",Minnesota Ice,6.17,7,22,RB,
Kelvin Benjamin,"$8,000,000",Jacksonville Bulls,29.33,29,23,WR,
Martellus Bennett,"$2,000,000",Jacksonville Bulls,102.0,102,27,TE,
Giovani Bernard,"$2,550,000",Memphis Showboats,35.0,33,23,RB,
LeGarrette Blount,"$550,000",New Orleans Breakers,241.0,289,28,RB,
Alfred Blue,"$1,100,000",Chicago Blitz,158.5,156,23,RB,
Anquan Boldin,"$450,000",St. Louis Stampede,177.5,172,34,WR,
Blake Bortles,"$800,000",Brooklyn Reds,136.5,136,23,QB,
Ahmad Bradshaw,"$1,050,000",Birmingham Stallions,196.83,191,28,RB,
Tom Brady,"$3,150,000",Detroit Panthers,133.5,132,37,QB,
Drew Brees,"$3,050,000",Toronto Raiders,83.83,80,35,QB,
Teddy Bridgewater,"$3,100,000",Brooklyn Reds,102.17,104,22,QB,
Kenny Britt,"$250,000",Jacksonville Bulls,158.17,155,26,WR,
Antonio Brown,"$13,550,000",Houston Texans,4.0,3,26,WR,
Bryce Brown,"$550,000",Philadelphia Stars,166.5,163,23,RB,
John Brown,"$1,500,000",Minnesota Ice,84.33,82,24,WR,
Dez Bryant,"$11,000,000",New Orleans Breakers,2.0,1,26,WR,
Reggie Bush,"$550,000",Birmingham Stallions,138.17,139,29,RB,
Jordan Cameron,"$1,550,000",New York Generals,79.17,77,26,TE,
Derek Carr,"$1,750,000",Jacksonville Bulls,134.33,134,23,QB,
Jamaal Charles,"$7,000,000",Chicago Blitz,24.33,24,28,RB,
Charles Clay,"$500,000",Miami Sun Devils,168.33,164,25,TE,
Randall Cobb,"$7,500,000",Memphis Showboats,15.33,14,24,WR,
Brandin Cooks,"$6,000,000",Brooklyn Reds,25.67,26,21,WR,
Michael Crabtree,"$2,050,000",Miami Sun Devils,73.0,67,27,WR,
Isaiah Crowell,"$2,650,000",Minnesota Ice,52.5,52,21,RB,
Victor Cruz,"$1,950,000",Detroit Panthers,89.5,88,28,WR,
Jay Cutler,"$1,750,000",Birmingham Stallions,158.5,157,31,QB,
Knile Davis,"$800,000",Chicago Blitz,102.17,103,23,RB,
Vernon Davis,"$350,000",Miami Sun Devils,153.67,148,30,TE,
Eric Decker,"$2,050,000",Miami Sun Devils,63.17,60,27,WR,
Eric Ebron,"$1,550,000",Birmingham Stallions,92.17,91,21,TE,
Julian Edelman,"$4,600,000",Brooklyn Reds,75.5,70,28,WR,
Tyler Eifert,"$2,000,000",Houston Texans,88.83,86,24,TE,
Zach Ertz,"$850,000",Birmingham Stallions,89.0,87,24,TE,
Mike Evans,"$8,150,000",Jacksonville Bulls,10.5,9,21,WR,
CJ Fiedorowicz,"$250,000",Brooklyn Reds,213.17,208,23,TE,
Joe Flacco,"$1,550,000",Miami Sun Devils,187.5,181,29,QB,
Coby Fleener,"$800,000",New Orleans Breakers,134.0,133,26,TE,
Michael Floyd,"$3,650,000",Atlanta Fury,32.17,30,25,WR,
Nick Foles,"$600,000",Philadelphia Stars,124.83,120,25,QB,
Justin Forsett,"$1,700,000",New York Generals,129.5,128,29,RB,
Matt Forte,"$6,550,000",New York Generals,32.83,32,29,RB,
Arian Foster,"$5,400,000",Birmingham Stallions,59.17,57,28,RB,
Crockett Gillmore,"$250,000",Brooklyn Reds,221.0,221,23,TE,
Jimmy Graham,"$7,150,000",Toronto Raiders,17.17,16,28,TE,
AJ Green,"$9,050,000",Atlanta Fury,5.5,6,26,WR,
Ladarius Green,"$1,050,000",Boston Glory,93.33,93,24,TE,
Jermaine Gresham,"$250,000",Jacksonville Bulls,,,,,
Robert Griffin III,"$350,000",Birmingham Stallions,142.0,141,24,QB,
Rob Gronkowski,"$10,050,000",St. Louis Stampede,7.33,8,25,TE,
Percy Harvin,"$1,400,000",Toronto Raiders,48.67,47,26,WR,
Andrew Hawkins,"$550,000",Miami Sun Devils,191.83,186,28,WR,
Roy Helu,"$700,000",Minnesota Ice,158.0,154,26,RB,
