Name,Salary,Owner,ADP,Rank,Age,Position
Rookie Pick 1.01 ,"$4,750,000",Chicago Blitz,,,,
Rookie Pick 1.02 ,"$4,150,000",Philadelphia Stars,,,,
Rookie Pick 1.03 ,"$4,800,000",Philadelphia Stars,,,,
Rookie Pick 1.04 ,"$4,550,000",Birmingham Stallions,,,,
Rookie Pick 1.05 ,"$3,900,000",Birmingham Stallions,,,,
Rookie Pick 1.06 ,"$3,600,000",Detroit Panthers,,,,
Rookie Pick 1.07 ,"$3,300,000",Atlanta Fury,,,,
Rookie Pick 1.08 ,"$2,950,000",Jacksonville Bulls,,,,
Rookie Pick 1.09 ,"$2,800,000",Detroit Panthers,,,,
Rookie Pick 1.10 ,"$2,600,000",Atlanta Fury,,,,
Rookie Pick 1.11 ,"$1,000,000",St. Louis Stampede,,,,
Rookie Pick 1.12 ,"$2,300,000",Jacksonville Bulls,,,,
Rookie Pick 1.13 ,"$650,000",Minnesota Ice,,,,
Rookie Pick 1.14 ,"$700,000",New Orleans Breakers,,,,
Rookie Pick 1.15 ,"$1,450,000",Atlanta Fury,,,,
Rookie Pick 1.16 ,"$1,250,000",New Orleans Breakers,,,,
Rookie Pick 2.01 ,"$750,000",New York Generals,,,,
Rookie Pick 2.02 ,"$650,000",New Orleans Breakers,,,,
Rookie Pick 2.03 ,"$650,000",Raiders,,,,
Rookie Pick 2.04 ,"$300,000",Raiders,,,,
