Name,Salary,Owner,ADP,Rank,Age,Position
Rookie Pick 1.01 ,"$7,550,000",Cleveland Rams,,,,
Rookie Pick 1.02 ,"$5,000,000",Cleveland Rams,,,,
Rookie Pick 1.03 ,"$4,050,000",Cleveland Rams,,,,
Rookie Pick 1.04 ,"$3,600,000",San Diego Blazers,,,,
Rookie Pick 1.05 ,"$3,400,000",San Diego Blazers,,,,
Rookie Pick 1.06 ,"$2,850,000",Las Vegas Sabercats,,,,
Rookie Pick 1.07 ,"$3,450,000",San Diego Blazers,,,,
Rookie Pick 1.08 ,"$1,800,000",Invaders,,,,
Rookie Pick 1.09 ,"$3,150,000",Pittsburgh Maulers,,,,
Rookie Pick 1.10 ,"$1,500,000",Invaders,,,,
Rookie Pick 1.11 ,"$1,550,000",Las Vegas Sabercats,,,,
Rookie Pick 1.12 ,"$2,000,000",San Diego Blazers,,,,
Rookie Pick 1.13 ,"$1,100,000",Denver Gold,,,,
Rookie Pick 1.14 ,"$850,000",Invaders,,,,
Rookie Pick 1.15 ,"$1,300,000",Calgary Cowboys,,,,
Rookie Pick 1.16 ,"$1,200,000",Dallas Gamblers,,,,
Rookie Pick 2.01 ,"$900,050",Denver Gold,,,,
Rookie Pick 2.02 ,"$450,000",Las Vegas Sabercats,,,,
Rookie Pick 2.03 ,"$500,010",Oklahoma City Outlaws,,,,
Rookie Pick 2.04 ,"$500,010",Oklahoma City Outlaws,,,,
Rookie Pick 2.05 ,"$800,000",San Antonio Bandits,,,,
Rookie Pick 2.06 ,"$300,000",Las Vegas Sabercats,,,,
Rookie Pick 2.07 ,"$250,000",Las Vegas Sabercats,,,,
Rookie Pick 2.08 ,"$400,000",b style,,,,
Rookie Pick 2.09 ,"$300,000",Charlotte Flyers,,,,
Rookie Pick 2.10 ,"$250,000",Oklahoma City Outlaws,,,,
Rookie Pick 2.11 ,"$250,000",Oklahoma City Outlaws,,,,
Rookie Pick 2.12 ,"$250,000",Calgary Cowboys,,,,
Rookie Pick 2.13 ,"$250,000",Cleveland Rams,,,,
Rookie Pick 2.14 ,"$250,000",Calgary Cowboys,,,,
Rookie Pick 2.15 ,"$250,000",b style,,,,
Rookie Pick 2.16 ,"$250,000",b style,,,,
Rookie Pick 3.01 ,"$300,000",Denver Gold,,,,
Rookie Pick 3.02 ,"$250,000",b style,,,,
Rookie Pick 3.03 ,"$250,000",Las Vegas Sabercats,,,,
Rookie Pick 3.04 ,"$250,000",b style,,,,
Davante Adams,"$4,050,000",Invaders,37.33,36,22,WR
Dwayne Allen,"$700,000",San Diego Blazers,108.0,108,24,TE
Keenan Allen,"$4,600,000",i,26.5,27,22,WR
Jace Amaro,"$250,000",Las Vegas Sabercats,129.5,127,22,TE
Danny Amendola,"$350,000",San Antonio Bandits,223.83,225,29,WR
CJ Anderson,"$4,500,000",b style,48.17,46,23,RB
Dri Archer,"$250,000",i,237.67,248,23,RB
Matt Asiata,"$250,000",Cleveland Rams,221.83,223,27,RB
Tavon Austin,"$600,000",Denver Gold,135.67,135,23,WR
Stedman Bailey,"$250,000",Cleveland Rams,144.83,145,24,WR
Doug Baldwin,"$550,000",Denver Gold,161.5,159,26,WR
Montee Ball,"$1,050,000",Dallas Gamblers,128.17,126,24,RB
Cole Beasley,"$250,000",Cleveland Rams,,,,
Odell Beckham Jr.,"$8,800,000",Dallas Gamblers,2.67,2,22,WR
Joique Bell,"$2,750,000",Pittsburgh Maulers,78.83,76,28,RB
Le'Veon Bell,"$14,500,000",Pittsburgh Maulers,6.17,7,22,RB
Kelvin Benjamin,"$5,250,000",Charlotte Flyers,29.33,29,23,WR
Martellus Bennett,"$2,750,000",Invaders,102.0,102,27,TE
Giovani Bernard,"$4,800,000",Denver Gold,35.0,33,23,RB
Justin Blackmon,"$1,755,000",Arizona Wranglers,94.0,95,24,WR
LeGarrette Blount,"$900,000",Pittsburgh Maulers,241.0,289,28,RB
Alfred Blue,"$500,000",Charlotte Flyers,158.5,156,23,RB
Anquan Boldin,"$2,000,000",Sharks,177.5,172,34,WR
Blake Bortles,"$750,000",Seattle Thunder,136.5,136,23,QB
Dwayne Bowe,"$500,000",San Antonio Bandits,183.5,177,30,WR
Sam Bradford,"$500,000",Oklahoma City Outlaws,227.67,230,27,QB
Ahmad Bradshaw,"$800,000",b style,196.83,191,28,RB
Tom Brady,"$3,700,000",Las Vegas Sabercats,133.5,132,37,QB
Drew Brees,"$5,300,000",Calgary Cowboys,83.83,80,35,QB
Teddy Bridgewater,"$2,050,000",i,102.17,104,22,QB
Kenny Britt,"$400,000",Oklahoma City Outlaws,158.17,155,26,WR
Antonio Brown,"$9,650,000",San Antonio Bandits,4.0,3,26,WR
Bryce Brown,"$250,000",Arizona Wranglers,166.5,163,23,RB
John Brown,"$1,800,000",Pittsburgh Maulers,84.33,82,24,WR
Dez Bryant,"$9,950,000",Sharks,2.0,1,26,WR
Martavis Bryant,"$2,900,000",i,57.0,56,23,WR
Reggie Bush,"$500,000",Calgary Cowboys,138.17,139,29,RB
Jordan Cameron,"$1,500,000",Invaders,79.17,77,26,TE
Michael Campanaro,"$250,000",Sharks,223.83,226,23,WR
Ka'Deem Carey,"$650,000",Arizona Wranglers,132.0,131,22,RB
Derek Carr,"$850,000",Arizona Wranglers,134.33,134,23,QB
Duron Carter,"$2,550,000",Oklahoma City Outlaws,117.33,115,23,WR
Scott Chandler,"$350,000",Charlotte Flyers,,,,
Jamaal Charles,"$7,500,000",Sharks,24.33,24,28,RB
Charles Clay,"$1,000,000",San Antonio Bandits,168.33,164,25,TE
Randall Cobb,"$6,300,000",Oklahoma City Outlaws,15.33,14,24,WR
Marques Colston,"$800,000",Denver Gold,180.67,175,31,WR
Jared Cook,"$250,000",San Antonio Bandits,205.33,197,27,TE
Brandin Cooks,"$5,000,000",Invaders,25.67,26,21,WR
Kirk Cousins,"$250,000",San Antonio Bandits,241.0,281,26,QB
Michael Crabtree,"$1,100,000",Arizona Wranglers,73.0,67,27,WR
Isaiah Crowell,"$3,550,000",Dallas Gamblers,52.5,52,21,RB
Victor Cruz,"$2,050,000",Invaders,89.5,88,28,WR
Jay Cutler,"$450,000",Seattle Thunder,158.5,157,31,QB
Andy Dalton,"$850,000",Denver Gold,163.17,161,27,QB
Knile Davis,"$1,150,000",Dallas Gamblers,102.17,103,23,RB
Vernon Davis,"$2,600,000",Oklahoma City Outlaws,153.67,148,30,TE
Eric Decker,"$4,300,000",Charlotte Flyers,63.17,60,27,WR
Larry Donnell,"$600,000",Cleveland Rams,190.17,184,26,TE
